date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:26:37	705675/705675	---MCZ	200	added ('OK')	text/html	etag:W/%2234dee40c03fa837cca0e89029b5dab24%22	https://kcmdesign2.wixsite.com/mysite	/home/harozien/websites/geo-arin/kcmdesign2.wixsite.com/mysite.html	(from )
16:26:37	448/448	---M--	200	added ('OK')	text/plain	date:Sun,%2003%20Dec%202023%2015:26:36%20GMT	https://kcmdesign2.wixsite.com/robots.txt		(from )
16:26:38	2999/2999	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Dec%202023%2015:26:37%20GMT	https://kcmdesign2.wixsite.com/	/home/harozien/websites/geo-arin/kcmdesign2.wixsite.com/index.html	(from https://kcmdesign2.wixsite.com/mysite)
16:26:38	475674/475674	---MCZ	200	added ('OK')	text/html	etag:W/%225c435ea98318d1be63d2d210c5a430fb%22	https://kcmdesign2.wixsite.com/mysite/%c3%a0-propos-de-nous	/home/harozien/websites/geo-arin/kcmdesign2.wixsite.com/mysite/%c3%a0-propos-de-nous.html	(from https://kcmdesign2.wixsite.com/mysite)
16:26:39	479854/479854	---MCZ	200	added ('OK')	text/html	etag:W/%222988d824a9e1f17f5a9671d501e6deb9%22	https://kcmdesign2.wixsite.com/mysite/services	/home/harozien/websites/geo-arin/kcmdesign2.wixsite.com/mysite/services.html	(from https://kcmdesign2.wixsite.com/mysite)
16:26:40	471102/471102	---MCZ	200	added ('OK')	text/html	etag:W/%223abb15a1da81bcc73a817ba353e32309%22	https://kcmdesign2.wixsite.com/mysite/produits	/home/harozien/websites/geo-arin/kcmdesign2.wixsite.com/mysite/produits.html	(from https://kcmdesign2.wixsite.com/mysite)
16:26:41	487269/487269	---MCZ	200	added ('OK')	text/html	etag:W/%22834a2852f918e4e3980b59284349ca7f%22	https://kcmdesign2.wixsite.com/mysite/contactez-nous	/home/harozien/websites/geo-arin/kcmdesign2.wixsite.com/mysite/contactez-nous.html	(from https://kcmdesign2.wixsite.com/mysite)
16:26:41	2999/2999	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Dec%202023%2015:26:41%20GMT	https://kcmdesign2.wixsite.com/media/emptystate.85a4add5.svg	/home/harozien/websites/geo-arin/kcmdesign2.wixsite.com/media/emptystate.85a4add5.5.delayed	(from https://kcmdesign2.wixsite.com/mysite)
16:26:42	2999/2999	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Dec%202023%2015:26:42%20GMT	https://kcmdesign2.wixsite.com/sitemap.xml	/home/harozien/websites/geo-arin/kcmdesign2.wixsite.com/sitemap.6.delayed	(from https://kcmdesign2.wixsite.com/mysite)
16:26:43	2999/2999	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Dec%202023%2015:26:43%20GMT	https://kcmdesign2.wixsite.com/feed.xml	/home/harozien/websites/geo-arin/kcmdesign2.wixsite.com/feed.7.delayed	(from https://kcmdesign2.wixsite.com/mysite)
16:26:44	2999/2999	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Dec%202023%2015:26:44%20GMT	https://kcmdesign2.wixsite.com/${n.uri}	/home/harozien/websites/geo-arin/kcmdesign2.wixsite.com/${n.8.delayed	(from https://kcmdesign2.wixsite.com/mysite)
16:26:45	2999/2999	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Dec%202023%2015:26:45%20GMT	https://kcmdesign2.wixsite.com/decodeURIComponent(e	/home/harozien/websites/geo-arin/kcmdesign2.wixsite.com/decodeURIComponent(e.9.delayed	(from https://kcmdesign2.wixsite.com/mysite)
16:26:46	3000/3000	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Dec%202023%2015:26:46%20GMT	https://kcmdesign2.wixsite.com/mysite/robots.txt	/home/harozien/websites/geo-arin/kcmdesign2.wixsite.com/mysite/robots.a.delayed	(from https://kcmdesign2.wixsite.com/mysite/%c3%a0-propos-de-nous)
16:26:47	257/257	---M--	200	added ('OK')	text/xml	date:Sun,%2003%20Dec%202023%2015:26:47%20GMT	https://kcmdesign2.wixsite.com/mysite/sitemap.xml	/home/harozien/websites/geo-arin/kcmdesign2.wixsite.com/mysite/sitemap.xml	(from https://kcmdesign2.wixsite.com/mysite/%c3%a0-propos-de-nous)
16:26:48	3000/3000	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Dec%202023%2015:26:48%20GMT	https://kcmdesign2.wixsite.com/mysite/feed.xml	/home/harozien/websites/geo-arin/kcmdesign2.wixsite.com/mysite/feed.c.delayed	(from https://kcmdesign2.wixsite.com/mysite/%c3%a0-propos-de-nous)
16:26:49	3000/3000	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Dec%202023%2015:26:49%20GMT	https://kcmdesign2.wixsite.com/mysite/${n.uri}	/home/harozien/websites/geo-arin/kcmdesign2.wixsite.com/mysite/${n.d.delayed	(from https://kcmdesign2.wixsite.com/mysite/%c3%a0-propos-de-nous)
16:26:50	3000/3000	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Dec%202023%2015:26:50%20GMT	https://kcmdesign2.wixsite.com/mysite/decodeURIComponent(e	/home/harozien/websites/geo-arin/kcmdesign2.wixsite.com/mysite/decodeURIComponent(e.e.delayed	(from https://kcmdesign2.wixsite.com/mysite/%c3%a0-propos-de-nous)
